                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.36474,                0.55546,                 1.1113,                0.86804,                0.79691,                0.86529,                0.73801,                0.40695,                0.75844,                 1.0525,             0.00077153,             0.00077153,             0.00077153
                     50,                0.35825,                0.54545,                  1.106,                0.87613,                0.79599,                0.86726,                0.74704,                0.39754,                0.71596,                 1.0447,             0.00075709,             0.00075709,             0.00075709
                     51,                0.35786,                0.54275,                  1.104,                0.87276,                0.78273,                0.86706,                0.74368,                0.40751,                0.73065,                 1.0579,             0.00074265,             0.00074265,             0.00074265
                     52,                0.35697,                0.52864,                 1.0996,                0.89992,                0.79274,                0.86809,                0.74579,                 0.4115,                0.69052,                 1.0651,             0.00072822,             0.00072822,             0.00072822
                     53,                0.35439,                0.52496,                 1.1049,                0.83373,                0.81045,                0.85102,                0.73419,                0.40787,                0.75531,                 1.0635,             0.00071378,             0.00071378,             0.00071378
                     54,                0.34983,                0.51888,                 1.0998,                0.83459,                0.82232,                 0.8722,                0.74796,                0.40278,                0.71176,                  1.047,             0.00069935,             0.00069935,             0.00069935
                     55,                0.35986,                0.52779,                 1.1092,                 0.8616,                0.82811,                0.86945,                0.74217,                 0.4034,                0.70457,                 1.0506,             0.00068491,             0.00068491,             0.00068491
                     56,                0.34992,                0.51488,                 1.0987,                0.87571,                0.79318,                 0.8674,                0.74569,                0.40369,                0.72652,                 1.0566,             0.00067048,             0.00067048,             0.00067048
                     57,                0.35163,                0.50782,                 1.0968,                0.87822,                0.79829,                0.87256,                0.75592,                0.40041,                0.68982,                 1.0494,             0.00065604,             0.00065604,             0.00065604
                     58,                0.34524,                0.50867,                   1.09,                0.86351,                0.81644,                0.87594,                0.75256,                0.39699,                0.69184,                 1.0374,             0.00064161,             0.00064161,             0.00064161
                     59,                0.34457,                0.49433,                 1.0908,                0.87078,                0.83327,                0.88429,                0.75924,                0.39778,                0.67625,                 1.0434,             0.00062717,             0.00062717,             0.00062717
                     60,                0.33708,                 0.4911,                 1.0866,                 0.8996,                0.78845,                0.87469,                 0.7557,                0.40124,                0.68795,                 1.0457,             0.00061273,             0.00061273,             0.00061273
                     61,                0.34585,                0.48648,                 1.0866,                0.87669,                0.81899,                0.88427,                0.76118,                 0.4012,                0.66079,                 1.0434,              0.0005983,              0.0005983,              0.0005983
                     62,                0.34193,                0.48505,                 1.0833,                0.86804,                0.82692,                0.88303,                0.76413,                0.40105,                0.66928,                 1.0454,             0.00058386,             0.00058386,             0.00058386
                     63,                0.34007,                0.47959,                 1.0882,                0.87093,                 0.8291,                0.88127,                0.76206,                0.39199,                0.65738,                 1.0347,             0.00056943,             0.00056943,             0.00056943
                     64,                0.33679,                0.48364,                 1.0831,                0.89361,                0.78641,                0.88176,                0.76216,                0.40012,                0.66674,                 1.0468,             0.00055499,             0.00055499,             0.00055499
                     65,                 0.3371,                0.47914,                 1.0808,                0.86249,                0.83497,                0.89015,                0.76938,                0.40053,                0.65895,                 1.0446,             0.00054056,             0.00054056,             0.00054056
                     66,                0.33132,                0.46939,                 1.0759,                0.89374,                0.78744,                0.87128,                0.75819,                0.40501,                0.69751,                 1.0543,             0.00052612,             0.00052612,             0.00052612
                     67,                0.33032,                 0.4661,                 1.0737,                0.89855,                0.80003,                0.87836,                0.76054,                 0.4018,                0.68406,                 1.0482,             0.00051168,             0.00051168,             0.00051168
                     68,                0.32768,                0.45864,                 1.0724,                0.89686,                0.81771,                0.88617,                0.76956,                0.39761,                0.67137,                 1.0455,             0.00049725,             0.00049725,             0.00049725
                     69,                0.32797,                 0.4593,                 1.0677,                0.88861,                0.82126,                0.88382,                0.76534,                0.39353,                0.67613,                 1.0407,             0.00048281,             0.00048281,             0.00048281
                     70,                0.32327,                0.44878,                 1.0698,                0.89818,                 0.8021,                 0.8799,                0.76322,                0.39193,                0.67063,                 1.0332,             0.00046838,             0.00046838,             0.00046838
                     71,                0.31941,                0.44891,                 1.0643,                0.87922,                0.80868,                0.88012,                0.76116,                0.39553,                0.66918,                 1.0432,             0.00045394,             0.00045394,             0.00045394
                     72,                0.31773,                0.44278,                 1.0559,                0.88368,                0.79908,                0.87854,                 0.7625,                0.39674,                0.69198,                 1.0521,             0.00043951,             0.00043951,             0.00043951
                     73,                0.32035,                0.44512,                  1.058,                0.85965,                0.83048,                 0.8804,                 0.7667,                0.39252,                0.69109,                 1.0428,             0.00042507,             0.00042507,             0.00042507
                     74,                0.31611,                0.44496,                  1.064,                0.88456,                 0.8165,                0.88501,                0.76911,                0.39539,                0.66521,                 1.0442,             0.00041064,             0.00041064,             0.00041064
                     75,                0.31723,                0.44159,                 1.0562,                0.89245,                0.80103,                0.87291,                0.76211,                0.39213,                0.68595,                 1.0415,              0.0003962,              0.0003962,              0.0003962
                     76,                0.31446,                0.43488,                 1.0565,                 0.9035,                0.81575,                0.88405,                 0.7664,                0.38796,                0.67995,                 1.0296,             0.00038176,             0.00038176,             0.00038176
                     77,                0.31336,                0.43786,                 1.0579,                0.87955,                0.82284,                0.88122,                0.76524,                 0.3941,                0.68932,                 1.0418,             0.00036733,             0.00036733,             0.00036733
                     78,                0.30986,                0.42108,                 1.0506,                0.86442,                0.81761,                0.87572,                0.76111,                0.40031,                0.68132,                 1.0522,             0.00035289,             0.00035289,             0.00035289
