                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.46606,                0.51001,                 1.0157,                 0.8743,                0.63194,                0.71211,                 0.6373,                0.54661,                 0.7862,                0.83523,             0.00050404,             0.00050404,             0.00050404
                     48,                0.46261,                0.49518,                 1.0144,                0.82861,                0.70177,                0.72303,                 0.6406,                0.56202,                0.72833,                0.83731,             0.00049504,             0.00049504,             0.00049504
                     49,                0.46915,                 0.5061,                 1.0153,                0.84616,                0.69617,                0.72498,                0.63546,                  0.583,                0.72586,                0.87466,             0.00048604,             0.00048604,             0.00048604
                     50,                0.47209,                0.50075,                 1.0138,                0.85352,                0.68033,                0.73901,                0.65162,                0.51448,                 0.7118,                0.80724,             0.00047704,             0.00047704,             0.00047704
                     51,                0.45542,                0.49633,                  1.009,                0.68618,                 0.6265,                0.69487,                 0.6199,                0.51872,                 0.7811,                0.80993,             0.00046804,             0.00046804,             0.00046804
                     52,                0.45654,                0.48808,                 1.0066,                0.88067,                0.64328,                0.73318,                0.65039,                0.52476,                0.72064,                0.80906,             0.00045904,             0.00045904,             0.00045904
                     53,                0.45018,                0.47299,                 1.0071,                0.82538,                0.70647,                0.73509,                0.65212,                0.52059,                0.73092,                0.81367,             0.00045005,             0.00045005,             0.00045005
                     54,                0.45661,                 0.4855,                 1.0055,                0.85668,                0.72247,                0.74094,                0.65789,                0.52393,                0.69751,                0.80943,             0.00044105,             0.00044105,             0.00044105
                     55,                0.45283,                0.46958,                 1.0113,                0.85546,                0.69749,                 0.7375,                0.65608,                0.51795,                0.69913,                0.80952,             0.00043205,             0.00043205,             0.00043205
                     56,                0.44923,                0.47155,                 1.0087,                0.88348,                0.66747,                0.73592,                0.65576,                0.51521,                0.71395,                0.81089,             0.00042305,             0.00042305,             0.00042305
                     57,                0.44366,                0.47781,                 1.0011,                0.80736,                0.71122,                0.73427,                0.65877,                0.51104,                0.71212,                0.80152,             0.00041405,             0.00041405,             0.00041405
                     58,                0.45034,                0.46744,                 1.0063,                0.81745,                0.71025,                0.71498,                 0.6407,                0.51519,                0.70716,                0.81113,             0.00040505,             0.00040505,             0.00040505
                     59,                 0.4363,                0.45429,                0.99774,                 0.8999,                0.67267,                0.74355,                0.65646,                0.52192,                0.69137,                0.81946,             0.00039605,             0.00039605,             0.00039605
                     60,                0.43391,                0.45227,                0.99436,                 0.8272,                 0.6883,                0.72726,                 0.6496,                0.51874,                0.74029,                0.81309,             0.00038705,             0.00038705,             0.00038705
                     61,                0.43002,                0.44264,                0.99156,                0.85342,                0.72418,                0.73893,                0.66595,                0.50147,                0.64303,                 0.8032,             0.00037805,             0.00037805,             0.00037805
                     62,                0.43042,                0.44413,                0.99534,                0.83076,                0.71219,                0.73098,                 0.6588,                0.50652,                0.68081,                0.79991,             0.00036905,             0.00036905,             0.00036905
                     63,                 0.4311,                0.43875,                0.99637,                0.88393,                0.65125,                0.73326,                0.65793,                0.49844,                0.69551,                0.79396,             0.00036005,             0.00036005,             0.00036005
